ID	| NAMA	| HARGA/1000	| MIN	| MAX	| KATEGORI
----------------------------------------------------------------------------------------------------
1061	| Instagram Buzzer Indonesia Followers From Verified Account - Centang Biru ✅	| Rp 20000000.00	| 1	| 10	| Instagram Buzzer Indonesia 🇮🇩
1074	| Instagram Buzzer Indonesia Custom Comments | From Verified Akun - Centang Biru ✅	| Rp 2000000.00	| 1	| 5	| Instagram Buzzer Indonesia 🇮🇩
1075	| Instagram Buzzer Indonesia Random Comments | From Verified Akun - Centang Biru ✅	| Rp 2000000.00	| 1	| 5	| Instagram Buzzer Indonesia 🇮🇩
1076	| Instagram Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | From Verified Akun - Centang Biru ✅	| Rp 2000000.00	| 1	| 5	| Instagram Buzzer Indonesia 🇮🇩
930	| Instagram Buzzer Indonesia Followers | Max 1K	| Rp 200000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1077	| Instagram Buzzer Indonesia Followers | Max 1K - Gender Akun Perempuan	| Rp 200000.00	| 10	| 500	| Instagram Buzzer Indonesia 🇮🇩
1078	| Instagram Buzzer Indonesia Followers | Max 1K - Gender Akun Laki Laki	| Rp 200000.00	| 10	| 500	| Instagram Buzzer Indonesia 🇮🇩
931	| Instagram Buzzer Indonesia Likes | Max 1K	| Rp 125000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
932	| Instagram Buzzer Indonesia Repost | Max 1K	| Rp 125000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
991	| Instagram Buzzer Indonesia Saves / Favorite | Max 1K	| Rp 125000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
992	| Instagram Buzzer Indonesia Shared To Story | Max 1K	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
933	| Instagram Buzzer Indonesia Custom Comments | Max 1K	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1066	| Instagram Buzzer Indonesia Custom Comments | Max 1K - Gender Akun Perempuan	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1067	| Instagram Buzzer Indonesia Custom Comments | Max 1K - Gender Akun Laki Laki	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
934	| Instagram Buzzer Indonesia Random Comments | Max 1K	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1079	| Instagram Buzzer Indonesia Random Comments | Max 1K - Gender Perempuan	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1080	| Instagram Buzzer Indonesia Random Comments | Max 1K - Gender Laki Laki	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1062	| Instagram Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1070	| Instagram Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K - Gender Akun Perempuan	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1071	| Instagram Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K - Gender Akun Laki Laki	| Rp 250000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
953	| Instagram Buzzer Indonesia Likes + Custom Comments | Max 1K	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1068	| Instagram Buzzer Indonesia Likes + Custom Comments | Max 1K - Gender Akun Perempuan	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1069	| Instagram Buzzer Indonesia Likes + Custom Comments | Max 1K - Gender Akun Laki Laki	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
954	| Instagram Buzzer Indonesia Likes + Random Comments | Max 1K	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1072	| Instagram Buzzer Indonesia Likes + Random Comments | Max 1K - Gender Akun Perempuan	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
1073	| Instagram Buzzer Indonesia Likes + Random Comments | Max 1K - Gender Akun Laki Laki	| Rp 325000.00	| 10	| 1000	| Instagram Buzzer Indonesia 🇮🇩
366	| Instagram Post Report | No Refill 🚫	| Rp 21281.00	| 1000	| 1000000	| Instagram Report
367	| Instagram Account Report | No Refill 🚫	| Rp 21281.00	| 1000	| 1000000	| Instagram Report
832	| Instagram Paket Likes and Repost Indonesian | Max 500 - Refill No	| Rp 32500.00	| 100	| 500	| Instagram Paket | Indonesia 🇮🇩
13	| Instagram Followers Indonesia | Max 1K - Refill 30 Days - Follow From Buzzer Indonesia 🇮🇩	| Rp 100000.00	| 20	| 1000	| Instagram Followers | Indonesia 🇮🇩
659	| Instagram Followers Indonesia | Max 5K - Refill 7 Days 🇮🇩 ♻️🔥	| Rp 22500.00	| 100	| 3000	| Instagram Followers | Indonesia 🇮🇩
465	| Instagram Followers Indonesia | Max 5K - Refill 15 Days 🇮🇩 ♻️🔥	| Rp 27500.00	| 100	| 3000	| Instagram Followers | Indonesia 🇮🇩
509	| Instagram Followers Indonesia | Max 5K - Refill 30 Days 🇮🇩 ♻️🔥	| Rp 32500.00	| 100	| 5000	| Instagram Followers | Indonesia 🇮🇩
12	| Instagram Followers Indonesia | Max 10K - Refill 30 Days - Low Drop - HQ - INSTANT 🇮🇩 ♻️🔥	| Rp 40000.00	| 50	| 10000	| Instagram Followers | Indonesia 🇮🇩
952	| Instagram Followers Indonesian | Max 2K - Refill 30 Days - High Quality Indonesia 🇮🇩	| Rp 75000.00	| 50	| 2000	| Instagram Followers | Indonesia 🇮🇩
804	| Instagram Followers Indonesia | Max 10K - Auto Refill 30 Days 🇮🇩 ♻️	| Rp 82500.00	| 100	| 10000	| Instagram Followers | Indonesia 🇮🇩
17	| Instagram Followers | Max 100K - No Refill	| Rp 4536.00	| 50	| 100000	| Instagram Followers | No Refill
608	| Instagram Followers | Max 20K - No Refill ⚠️	| Rp 3804.00	| 100	| 50000	| Instagram Followers | No Refill
971	| Instagram Followers | Max 100K - No Refill - HQ Account - Instant	| Rp 4742.00	| 100	| 100000	| Instagram Followers | No Refill
908	| Instagram Followers | Max 10K - No Refill - Low Quality	| Rp 4291.00	| 100	| 10000	| Instagram Followers | No Refill
881	| Instagram Followers | Max 100K - No Refill - Old Account ⚠️ 🚀	| Rp 8826.00	| 50	| 100000	| Instagram Followers | No Refill
18	| Instagram Followers | Max 10M - No Refill	| Rp 11886.00	| 100	| 10000000	| Instagram Followers | No Refill
844	| Instagram Followers | Max 100K - No Refill - HQ Account	| Rp 14301.00	| 100	| 100000	| Instagram Followers | No Refill
856	| Instagram Followers | Max 50K - HQ Account - Low Drop - No Refill ⚠️ 🚀	| Rp 22641.00	| 50	| 50000	| Instagram Followers | No Refill
739	| Instagram Followers | Max 5M - HQ Account - No Refill ⚠️	| Rp 41026.00	| 50	| 5000000	| Instagram Followers | No Refill
552	| Instagram Followers | Max 5M - No Refill	| Rp 45967.00	| 10	| 5000000	| Instagram Followers | No Refill
768	| Instagram Followers | Max 500K - No Refill - FAST ⚠️ 🚀	| Rp 48010.00	| 10	| 500000	| Instagram Followers | No Refill
463	| Instagram Followers | Max 500K - No Refill - HQ	| Rp 71504.00	| 10	| 5000000	| Instagram Followers | No Refill
20	| Instagram Followers | Max 100K - Refill 30 Days - Old Account ♻️	| Rp 5145.00	| 50	| 100000	| Instagram Followers | Refill Guaranteed 30 Days
19	| Instagram Followers | Max 5M - Refill 30 Days ♻️	| Rp 9602.00	| 10	| 5000000	| Instagram Followers | Refill Guaranteed 30 Days
882	| Instagram Followers | Max 100K - Refill 30 Days - Old Account - Real ♻️⚡🚀	| Rp 11110.00	| 50	| 100000	| Instagram Followers | Refill Guaranteed 30 Days
738	| Instagram Followers | Max 1M - Refill 30 Days - Real Account ♻️ 🚀	| Rp 14301.00	| 10	| 100000	| Instagram Followers | Refill Guaranteed 30 Days
868	| Instagram Followers | Max 30K - Refill 30 Days - Old Account - Real Account ♻️⚡⭐🚀	| Rp 19307.00	| 20	| 30000	| Instagram Followers | Refill Guaranteed 30 Days
22	| Instagram Followers | Max 100K - Refill 30 Days - HQ Account - Natural Progress♻️	| Rp 30441.00	| 50	| 100000	| Instagram Followers | Refill Guaranteed 30 Days
464	| Instagram Followers | Max 10M - Refill 30 Days - HQ - Low Drop ♻️⚡	| Rp 38975.00	| 10	| 1000000	| Instagram Followers | Refill Guaranteed 30 Days
606	| Instagram Followers | Max 5M - Refill 30 Days - HQ Account ♻️⚡	| Rp 46155.00	| 10	| 1000000	| Instagram Followers | Refill Guaranteed 30 Days
647	| Instagram Followers | Max 5M - Refill 30 Days - Old Account - Real Account ♻️⚡⭐	| Rp 49032.00	| 10	| 5000000	| Instagram Followers | Refill Guaranteed 30 Days
459	| Instagram Followers | Max 1M - Refill 30 Days - Old Account ♻️⚡	| Rp 52096.00	| 10	| 500000	| Instagram Followers | Refill Guaranteed 30 Days
855	| Instagram Followers | Max 500K - Refill 30 Days - Old Account - Real Account ♻️⚡⭐ 🚀	| Rp 63843.00	| 10	| 1000000	| Instagram Followers | Refill Guaranteed 30 Days
21	| Instagram Followers | Max 300K - Refill 30 Days ♻️💧⛔	| Rp 63843.00	| 20	| 300000	| Instagram Followers | Refill Guaranteed 30 Days
733	| Instagram Followers | Max 10M - Refill 30 Days - Old Account - Real Account ♻️⚡⭐ 🚀	| Rp 72526.00	| 10	| 10000000	| Instagram Followers | Refill Guaranteed 30 Days
320	| Instagram Power Likes | Max 75K - Real Users 🔥🔥	| Rp 6129.00	| 10	| 75000	| Instagram POWER Likes
321	| Instagram Power Likes | Max 5K - Real Users 🔥🔥	| Rp 9194.00	| 50	| 5000	| Instagram POWER Likes
322	| Instagram Power Likes | Max 10K - Real Users 🔥🔥	| Rp 6129.00	| 50	| 10000	| Instagram POWER Likes
