ID	| NAMA	| HARGA/1000	| MIN	| MAX	| KATEGORI
----------------------------------------------------------------------------------------------------
1051	| Paket FYP TikTok Buzzer Indonesia | Max 1K - Views + Likes + Random Comments + Saves / Favorite + Shared To Story	| Rp 500000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
935	| TikTok Buzzer Indonesia Followers | Max 1K	| Rp 200000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1081	| TikTok Buzzer Indonesia Followers | Max 1K - Gender Akun Perempuan	| Rp 200000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1082	| TikTok Buzzer Indonesia Followers | Max 1K - Gender Akun Laki Laki	| Rp 200000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
936	| TikTok Buzzer Indonesia Likes | Max 1K	| Rp 125000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
937	| TikTok Buzzer Indonesia Repost - Posting Ulang | Max 1K	| Rp 125000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
989	| TikTok Buzzer Indonesia Saves / Favorite | Max 1K	| Rp 125000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
990	| TikTok Buzzer Indonesia Shared To Story | Max 1K	| Rp 250000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
938	| TikTok Buzzer Indonesia Custom Comments | Max 1K	| Rp 250000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1083	| TikTok Buzzer Indonesia Custom Comments | Max 1K - Gender Akun Perempuan	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1084	| TikTok Buzzer Indonesia Custom Comments | Max 1K - Gender Akun Laki Laki	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
939	| TikTok Buzzer Indonesia Random Comments | Max 1K	| Rp 250000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1091	| TikTok Buzzer Indonesia Random Comments | Max 1K - Gender Perempuan	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1092	| TikTok Buzzer Indonesia Random Comments | Max 1K - Gender Laki Laki	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1063	| TikTok Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K	| Rp 250000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1085	| TikTok Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K - Gender Akun Perempuan	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1086	| TikTok Buzzer Indonesia Mix Positive Emoji Comments 👍🤩🎉🔥❤️🥰👏🏻🥳😍❤️‍🔥💯 | Max 1K - Gender Akun Laki Laki	| Rp 250000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
957	| TikTok Buzzer Indonesia Likes + Custom Comments | Max 1K	| Rp 325000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1087	| TikTok Buzzer Indonesia Likes + Custom Comments | Max 1K - Gender Akun Perempuan	| Rp 325000.00	| 10	| 20	| TikTok Buzzer Indonesia 🇮🇩
1088	| TikTok Buzzer Indonesia Likes + Custom Comments | Max 1K - Gender Akun Laki Laki	| Rp 325000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
958	| TikTok Buzzer Indonesia Likes + Random Comments | Max 1K	| Rp 325000.00	| 10	| 1000	| TikTok Buzzer Indonesia 🇮🇩
1089	| TikTok Buzzer Indonesia Likes + Random Comments | Max 1K - Gender Akun Perempuan	| Rp 325000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
1090	| TikTok Buzzer Indonesia Likes + Random Comments | Max 1K - Gender Akun Laki Laki	| Rp 325000.00	| 10	| 500	| TikTok Buzzer Indonesia 🇮🇩
731	| TikTok Paket FYP Indonesia | Views 100% - Likes 10% - Saves 10% - Shares 10%	| Rp 8500.00	| 100	| 30000	| TikTok Paket FYP Indonesia 🇮🇩
944	| TikTok Followers Indonesian | Max 1K - Refill 30 Days - Follow From Buzzer Indonesia 🇮🇩	| Rp 100000.00	| 20	| 1000	| TikTok Followers Indonesia 🇮🇩
821	| TikTok Followers Indonesian | Max 10K - Refill No - HQ	| Rp 55000.00	| 50	| 10000	| TikTok Followers Indonesia 🇮🇩
951	| TikTok Followers Indonesian | Max 2K - Refill 30 Days - High Quality Indonesia 🇮🇩	| Rp 75000.00	| 50	| 3000	| TikTok Followers Indonesia 🇮🇩
1	| TikTok Followers Indonesian | Max 5K - Refill 30 Days - HQ	| Rp 80000.00	| 50	| 5000	| TikTok Followers Indonesia 🇮🇩
742	| TikTok Followers Indonesian | Max 10K - Refill 30 Days - HQ Real	| Rp 125000.00	| 20	| 20000	| TikTok Followers Indonesia 🇮🇩
232	| TikTok Likes Indonesian | Max 10K - Refill 30 Days	| Rp 22500.00	| 50	| 10000	| TikTok Likes Indonesia 🇮🇩
728	| TikTok Saves Indonesian | Max 3K - Bonus Views	| Rp 15000.00	| 100	| 3000	| TikTok Saves/Favorite Indonesia 🇮🇩
730	| TikTok Shares Indonesian | Max 10K - Bonus Views	| Rp 15000.00	| 100	| 10000	| TikTok Shares Indonesia 🇮🇩
